,Name,Date of Birth,Date of Death,Race,Gender,Religion,Title,Term Start,Term End,Party,Nominator,Court,Year
1241,Albert Kôersner,1872-08-07,1929-10-02,,male,,Justice of the Supreme Court of Sweden,1918-01-01,1929-01-01,,,Sweden,1918
1242,Gustaf Appelberg,1871-08-18,1938-02-24,,male,,Justice of the Supreme Court of Sweden,1919-01-01,1938-01-01,,,Sweden,1919
1243,Karl-Henrik Högstedt,1872-01-14,1951-04-06,,male,,Justice of the Supreme Court of Sweden,1921-01-01,1929-01-01,,,Sweden,1921
1244,Nils Alexanderson,1875-04-15,1960-04-21,,male,,Justice of the Supreme Court of Sweden,1922-01-01,1944-01-01,,,Sweden,1922
1245,Karl Tiselius,1875-10-16,1954-04-21,,male,,Justice of the Supreme Court of Sweden,1923-01-01,1930-01-01,,,Sweden,1923
1246,Birger Ekeberg,1880-08-10,1968-11-30,,male,,Justice of the Supreme Court of Sweden,1925-01-01,1927-01-01,,,Sweden,1925
1247,Einar Stenbeck,1881-05-27,1949-05-05,,male,,Justice of the Supreme Court of Sweden,1926-01-01,1933-01-01,,,Sweden,1926
1248,Rudolf Eklund,1883-08-19,1961-12-14,,male,,Justice of the Supreme Court of Sweden,1927-01-01,1940-01-01,,,Sweden,1927
1249,Arthur Lindhagen,1884-07-21,1950-02-14,,male,,Justice of the Supreme Court of Sweden,1929-01-01,1931-01-01,,,Sweden,1929
1250,Carl Meurling,1876-05-29,1963-09-21,,male,,Justice of the Supreme Court of Sweden,1929-01-01,1944-05-30,Q4887122,,Sweden,1929
1251,Hans Forsberg,1881-11-14,1949-04-29,,male,,Justice of the Supreme Court of Sweden,1929-01-01,1948-01-01,,,Sweden,1929
1252,Erik Geijer,1883-12-17,1959-05-03,,male,,Justice of the Supreme Court of Sweden,1929-01-01,1950-01-01,,,Sweden,1929
1253,Natanael Gärde,1880-07-27,1968-01-28,,male,,Justice of the Supreme Court of Sweden,1929-08-03,1945-01-01,Liberals,,Sweden,1929
1254,Algot Bagge,1875-07-19,1971-03-05,,male,,Justice of the Supreme Court of Sweden,1930-01-01,1943-01-01,,,Sweden,1930
1255,Nils Vult von Steyern,1887-04-27,1966-05-12,,male,,Justice of the Supreme Court of Sweden,1930-01-01,1946-01-01,,,Sweden,1930
1256,Gustaf Grefberg,1879-10-27,1964-03-01,,male,,Justice of the Supreme Court of Sweden,1930-01-01,1947-01-01,,,Sweden,1930
1257,Sven Lawski,1884-09-01,1963-02-14,,male,,Justice of the Supreme Court of Sweden,1930-01-01,1948-01-01,,,Sweden,1930
1258,Emil Sandström,1886-10-11,1962-07-06,,male,,Justice of the Supreme Court of Sweden,1931-01-01,1933-01-01,,,Sweden,1931
1259,Hilding Forssman,1886-06-14,1964-08-13,,male,,Justice of the Supreme Court of Sweden,1931-01-01,1953-01-01,,,Sweden,1931
1260,Axel Afzelius,1885-04-25,1955-08-07,,male,,Justice of the Supreme Court of Sweden,1932-01-01,1952-01-01,,,Sweden,1932
1261,John Alsén,1888-03-19,1959-11-03,,male,,Justice of the Supreme Court of Sweden,1932-01-01,1955-01-01,,,Sweden,1932
1262,Sven Bellinder,1882-02-01,1957-01-25,,male,,Justice of the Supreme Court of Sweden,1933-01-01,1949-01-01,,,Sweden,1933
1263,Harry Guldberg,1890-10-21,1981-06-11,,male,,Justice of the Supreme Court of Sweden,1933-01-01,1950-01-01,,,Sweden,1933
1264,Erik Lind,1888-10-17,1959-02-10,,male,,Justice of the Supreme Court of Sweden,1933-01-01,1955-01-01,,,Sweden,1933
1265,Emil Sandström,1886-10-11,1962-07-06,,male,,Justice of the Supreme Court of Sweden,1935-01-01,1943-01-01,,,Sweden,1935
1266,Fritz Sterzel,1890-01-21,1959-04-02,,male,,Justice of the Supreme Court of Sweden,1935-01-01,1955-01-01,,,Sweden,1935
1267,Ragnar Gyllensvärd,1891-08-11,1967-02-26,,male,,Justice of the Supreme Court of Sweden,1935-01-01,1958-01-01,,,Sweden,1935
1268,Hugo Ericsson,1893-04-09,1964-01-08,,male,,Justice of the Supreme Court of Sweden,1935-01-01,1960-01-01,,,Sweden,1935
1269,Seve Ekberg,1887-04-19,1975-06-26,,male,,Justice of the Supreme Court of Sweden,1936-01-01,1954-01-01,,,Sweden,1936
1270,Ragnar Petré,1892-11-02,1943-11-14,,male,,Justice of the Supreme Court of Sweden,1938-01-01,1943-01-01,,,Sweden,1938
1271,Gunnar Dahlman,1895-06-22,1963-12-14,,male,,Justice of the Supreme Court of Sweden,1939-01-01,1949-01-01,,,Sweden,1939
1272,Per Santesson,1892-04-22,1982-05-05,,male,,Justice of the Supreme Court of Sweden,1939-01-01,1957-01-01,,,Sweden,1939
1273,Knut Nissen,1893-04-04,1975-09-07,,male,,Justice of the Supreme Court of Sweden,1939-01-01,1960-01-01,,,Sweden,1939
1274,Einar Stenbeck,1881-05-27,1949-05-05,,male,,Justice of the Supreme Court of Sweden,1941-01-01,1948-01-01,,,Sweden,1941
1275,Tore Strandberg,1896-02-14,1957-07-28,,male,,Justice of the Supreme Court of Sweden,1942-01-01,1957-01-01,,,Sweden,1942
1276,Johan Hagander,1896-09-28,1991-01-01,,male,,Justice of the Supreme Court of Sweden,1943-01-01,1947-01-01,,,Sweden,1943
1277,Carl Gustaf Hellquist,1896-09-04,1973-12-21,,male,,Justice of the Supreme Court of Sweden,1943-01-01,1963-01-01,,,Sweden,1943
1278,Nils Ljunggren,1893-09-03,1971-11-11,,male,,Justice of the Supreme Court of Sweden,1944-01-01,1960-01-01,,,Sweden,1944
1279,Halvar Lech,1894-09-15,1977-12-26,,male,,Justice of the Supreme Court of Sweden,1944-01-01,1961-01-01,,,Sweden,1944
1280,Hjalmar Karlgren,1897-07-16,1978-03-30,,male,,Justice of the Supreme Court of Sweden,1946-01-01,1964-01-01,,,Sweden,1946
1281,Gösta Walin,1902-11-30,2002-10-09,,male,,Justice of the Supreme Court of Sweden,1947-01-01,1960-01-01,,,Sweden,1947
1282,Nils Beckman,1902-10-30,1972-01-22,,male,,Justice of the Supreme Court of Sweden,1947-01-01,1969-01-01,,,Sweden,1947
1283,Einar Stenbeck,1881-05-27,1949-05-05,,male,,President of the Supreme Court of Sweden,1948-01-01,1948-05-31,,,Sweden,1948
1284,Jochum Sjöwall,1908-09-15,1981-02-04,,male,,Justice of the Supreme Court of Sweden,1948-01-01,1958-01-01,,,Sweden,1948
1285,Gösta Lind,1898-07-12,1980-09-05,,male,,Justice of the Supreme Court of Sweden,1948-01-01,1965-01-01,,,Sweden,1948
1286,Nils Ivan Regner,1902-01-01,1978-01-01,,male,,Justice of the Supreme Court of Sweden,1948-01-01,1969-01-01,,,Sweden,1948
1287,Axel Afzelius,1885-04-25,1955-08-07,,male,,President of the Supreme Court of Sweden,1948-06-01,1952-01-01,,,Sweden,1948
1288,Ingvar Lindell,1904-08-23,1993-02-08,,male,,Justice of the Supreme Court of Sweden,1949-01-01,1951-01-01,,,Sweden,1949
1289,Erik Söderlund,1899-11-24,1984-01-01,,male,,Justice of the Supreme Court of Sweden,1950-01-01,1966-01-01,,,Sweden,1950
1290,Herved af Trolle,1905-04-20,1966-02-07,,male,,Justice of the Supreme Court of Sweden,1951-01-01,1966-01-01,,,Sweden,1951
1291,Erik Hagbergh,1900-06-11,1988-02-02,,male,,Justice of the Supreme Court of Sweden,1951-01-01,1967-01-01,,,Sweden,1951
1292,Sven Romanus,1906-01-19,2005-04-30,,male,,Justice of the Supreme Court of Sweden,1951-01-01,1973-01-01,,,Sweden,1951
1293,Ragnar Gyllensvärd,1891-08-11,1967-02-26,,male,,President of the Supreme Court of Sweden,1952-01-01,1958-01-01,,,Sweden,1952
1294,Erik Tammelin,1896-01-01,,,male,,Justice of the Supreme Court of Sweden,1952-01-01,1963-01-01,,,Sweden,1952
1295,Sven Edling,1908-12-09,2000-08-23,,male,,Justice of the Supreme Court of Sweden,1953-01-01,1975-01-01,,,Sweden,1953
1296,Hugo Digman,1905-12-10,1978-06-17,,male,,Justice of the Supreme Court of Sweden,1954-01-01,1972-01-01,,,Sweden,1954
1297,Sigurd Dennemark,1911-08-14,1965-11-26,,male,,Justice of the Supreme Court of Sweden,1955-01-01,1965-01-01,,,Sweden,1955
1298,Gunnar Bomgren,1902-09-04,1985-11-17,,male,,Justice of the Supreme Court of Sweden,1955-01-01,1969-01-01,,,Sweden,1955
1299,Torkel Nordström,1910-03-12,1999-04-20,,male,,Justice of the Supreme Court of Sweden,1955-01-01,1977-01-01,,,Sweden,1955
1300,Yngve Söderlund,1909-03-23,1978-02-05,,male,,Justice of the Supreme Court of Sweden,1957-01-01,1969-01-01,,,Sweden,1957
1301,Otto Petrén,1912-10-07,1990-10-12,,male,,Justice of the Supreme Court of Sweden,1957-01-01,1979-01-01,,,Sweden,1957
1302,Carl Gustaf Hellquist,1896-09-04,1973-12-21,,male,,President of the Supreme Court of Sweden,1958-01-01,1963-01-01,,,Sweden,1958
1303,Erik Hedfeldt,1908-04-08,1986-06-22,,male,,Justice of the Supreme Court of Sweden,1958-01-01,1975-01-01,,,Sweden,1958
1304,Olof Riben,1905-07-15,1998-02-15,,male,,Justice of the Supreme Court of Sweden,1959-01-01,1972-01-01,,,Sweden,1959
1305,Nils Joachimsson,1907-01-01,1983-01-11,,male,,Justice of the Supreme Court of Sweden,1960-01-01,1974-01-01,,,Sweden,1960
1306,Arne Brunnberg,1909-12-26,2001-08-03,,male,,Justice of the Supreme Court of Sweden,1960-01-01,1976-01-01,,,Sweden,1960
1307,Erland Conradi,1912-03-29,2010-01-01,,male,,Justice of the Supreme Court of Sweden,1960-01-01,1979-01-01,,,Sweden,1960
1308,Bertil Alexanderson,1912-10-29,1991-05-25,,male,,Justice of the Supreme Court of Sweden,1960-01-01,1979-01-01,,,Sweden,1960
1309,Per Bergsten,1913-02-20,1982-06-15,,male,,Justice of the Supreme Court of Sweden,1961-01-01,1978-01-01,,,Sweden,1961
1310,Bengt Hult,1917-08-28,2008-10-29,,male,,Justice of the Supreme Court of Sweden,1963-01-01,1963-01-01,,,Sweden,1963
1311,Nils Beckman,1902-10-30,1972-01-22,,male,,President of the Supreme Court of Sweden,1963-01-01,1969-01-01,,,Sweden,1963
1312,Björn Bernhard,1914-06-18,1996-03-02,,male,,Justice of the Supreme Court of Sweden,1963-01-01,1981-01-01,,,Sweden,1963
1313,Peter Westerlind,1917-07-17,1987-11-03,,male,,Justice of the Supreme Court of Sweden,1964-01-01,1970-01-01,,,Sweden,1964
1314,Johan Gyllensvärd,1916-08-23,2000-03-02,,male,,Justice of the Supreme Court of Sweden,1964-01-01,1983-01-01,,,Sweden,1964
1315,Torwald Hesser,1917-11-14,2004-04-24,,male,,Justice of the Supreme Court of Sweden,1965-01-01,1984-01-01,,,Sweden,1965
1316,Carl Holmberg,1919-01-31,2004-07-01,,male,,Justice of the Supreme Court of Sweden,1965-01-01,1986-01-01,,,Sweden,1965
1317,Bengt Lännergren,1906-10-15,1982-02-16,,male,,Justice of the Supreme Court of Sweden,1966-01-01,1967-01-01,,,Sweden,1966
1318,Ulf Lundvik,1916-10-16,1988-05-19,,male,,Justice of the Supreme Court of Sweden,1966-01-01,1968-01-01,,,Sweden,1966
1319,Manne Walberg,1912-02-15,1985-11-10,,male,,Justice of the Supreme Court of Sweden,1966-01-01,1979-01-01,,,Sweden,1966
1320,Jochum Sjöwall,1908-09-15,1981-02-04,,male,,Justice of the Supreme Court of Sweden,1967-01-01,1975-01-01,,,Sweden,1967
1321,Ingrid Gärde Widemar,1912-03-24,2009-01-02,,female,,Justice of the Supreme Court of Sweden,1968-01-01,1977-01-01,Liberals,,Sweden,1968
1322,Lennart Fredlund,1919-11-21,2008-11-12,,male,,Justice of the Supreme Court of Sweden,1968-01-01,1984-01-01,,,Sweden,1968
1323,Leif Brundin,1921-08-05,2001-07-30,,male,,Justice of the Supreme Court of Sweden,1968-01-01,1988-01-01,,,Sweden,1968
1324,Olle Höglund,1923-02-18,2009-07-04,,male,,Justice of the Supreme Court of Sweden,1968-01-01,1990-01-01,,,Sweden,1968
1325,Sven Romanus,1906-01-19,2005-04-30,,male,,President of the Supreme Court of Sweden,1969-01-01,1973-01-01,,,Sweden,1969
1326,Ingemar Ulveson,1917-04-11,1994-08-29,,male,,Justice of the Supreme Court of Sweden,1969-01-01,1983-01-01,,,Sweden,1969
1327,Nils Mannerfelt,1924-06-11,1989-09-13,,male,,Justice of the Supreme Court of Sweden,1969-01-01,1989-01-01,,,Sweden,1969
1328,Lars Welamson,1921-06-28,2006-01-01,,male,,Justice of the Supreme Court of Sweden,1970-01-01,1988-01-01,,,Sweden,1970
1329,Hans Stark,1931-01-01,2020-01-04,,male,,Justice of the Supreme Court of Sweden,1973-01-01,1973-01-01,,,Sweden,1973
1330,Sven Edling,1908-12-09,2000-08-23,,male,,President of the Supreme Court of Sweden,1973-01-01,1975-01-01,,,Sweden,1973
1331,Henrik Hessler,1918-09-29,1991-01-01,,male,,Justice of the Supreme Court of Sweden,1973-01-01,1983-01-01,,,Sweden,1973
1332,Bengt Hult,1917-08-28,2008-10-29,,male,,Justice of the Supreme Court of Sweden,1973-01-01,1984-01-01,,,Sweden,1973
1333,Erik Nyman,1921-01-03,1999-12-27,,male,,Justice of the Supreme Court of Sweden,1973-01-01,1987-01-01,,,Sweden,1973
1334,Ulf K. Nordenson,1924-05-20,2000-05-12,,male,,Justice of the Supreme Court of Sweden,1974-01-01,1983-01-01,,,Sweden,1974
1335,Otto Petrén,1912-10-07,1990-10-12,,male,,President of the Supreme Court of Sweden,1975-01-01,1979-01-01,,,Sweden,1975
1336,Sven Nyman,1925-01-01,2001-01-01,,male,,Justice of the Supreme Court of Sweden,1975-01-01,1992-01-01,,,Sweden,1975
1337,Anders Knutsson,1931-08-30,,,male,,Justice of the Supreme Court of Sweden,1975-01-01,1998-01-01,,,Sweden,1975
1338,Lennart Persson,1922-01-01,2018-04-04,,male,,Justice of the Supreme Court of Sweden,1976-01-01,1989-01-01,,,Sweden,1976
1339,Gunnar Ehrner,1920-06-26,2011-01-01,,male,,Justice of the Supreme Court of Sweden,1977-01-01,1987-01-01,,,Sweden,1977
1340,Böret Palm,1925-04-17,2016-07-27,,female,,Justice of the Supreme Court of Sweden,1977-01-01,1992-01-01,,,Sweden,1977
1341,Bertil Bengtsson,1926-05-13,,,male,,Justice of the Supreme Court of Sweden,1977-01-01,1993-01-01,,,Sweden,1977
1342,Staffan Vängby,2000-01-01,,,male,,Justice of the Supreme Court of Sweden,1977-01-01,1997-01-01,,,Sweden,1977
1343,Jan Ljungar,1928-12-02,2018-01-01,,male,,Justice of the Supreme Court of Sweden,1978-01-01,1979-01-01,,,Sweden,1978
1344,Tor Sverne,1921-01-01,1999-01-01,,male,,Justice of the Supreme Court of Sweden,1979-01-01,1980-01-01,,,Sweden,1979
1345,Fredrik Sterzel,1934-10-29,,,male,,Justice of the Supreme Court of Sweden,1979-01-01,1980-01-01,,,Sweden,1979
1346,Bengt Hult,1917-08-28,2008-10-29,,male,,President of the Supreme Court of Sweden,1979-01-01,1984-01-01,,,Sweden,1979
1347,Bengt Rydin,1925-09-30,2016-07-30,,male,,Justice of the Supreme Court of Sweden,1979-01-01,1992-01-01,,,Sweden,1979
1348,Per Jermsten,1929-07-07,2018-10-05,,male,,Justice of the Supreme Court of Sweden,1979-01-01,1996-01-01,,,Sweden,1979
1349,Peter Westerlind,1917-07-17,1987-11-03,,male,,Justice of the Supreme Court of Sweden,1980-01-01,1984-01-01,,,Sweden,1980
1350,Jan Heuman,1929-05-05,,,male,,Justice of the Supreme Court of Sweden,1981-01-01,1995-01-01,,,Sweden,1981
1351,Torkel Gregow,1935-11-15,,,male,,Justice of the Supreme Court of Sweden,1981-01-01,2002-01-01,,,Sweden,1981
1352,Ulf Gad,1927-01-01,2015-12-21,,male,,Justice of the Supreme Court of Sweden,1983-01-01,1986-01-01,,,Sweden,1983
1353,Bo Broomé,1936-10-18,2014-07-10,,male,,Justice of the Supreme Court of Sweden,1983-01-01,1987-01-01,,,Sweden,1983
1354,Staffan Magnusson,1936-03-20,2019-12-26,,male,,Justice of the Supreme Court of Sweden,1983-01-01,2003-01-01,,,Sweden,1983
1355,Olof Bergqvist,1936-11-08,1992-01-01,,male,,Justice of the Supreme Court of Sweden,1984-01-01,1985-01-01,,,Sweden,1984
1356,Carl Holmberg,1919-01-31,2004-07-01,,male,,President of the Supreme Court of Sweden,1984-01-01,1986-01-01,,,Sweden,1984
1357,Bertil Freyschuss,1929-05-24,2001-02-15,,male,,Justice of the Supreme Court of Sweden,1984-01-01,1996-01-01,,,Sweden,1984
1358,Johan Lind,1934-03-09,,,male,,Justice of the Supreme Court of Sweden,1984-01-01,2000-01-01,,,Sweden,1984
1359,Lars K. Beckman,1936-12-29,,,male,,Justice of the Supreme Court of Sweden,1984-01-01,2003-01-01,,,Sweden,1984
1360,Hans Stark,1931-01-01,2020-01-04,,male,,Justice of the Supreme Court of Sweden,1986-01-01,1987-01-01,,,Sweden,1986
1361,Olle Höglund,1923-02-18,2009-07-04,,male,,President of the Supreme Court of Sweden,1986-01-01,1990-01-01,,,Sweden,1986
1362,Hans-Gunnar Solerud,1938-01-01,2008-01-01,,male,,Justice of the Supreme Court of Sweden,1986-01-01,1997-01-01,,,Sweden,1986
1363,Lars Å. Bäckman,1931-04-26,2013-05-16,,male,,Justice of the Supreme Court of Sweden,1986-01-01,1998-01-01,,,Sweden,1986
1364,Inger Nyström,1936-04-18,,,female,,Justice of the Supreme Court of Sweden,1986-01-01,2003-01-01,,,Sweden,1986
1365,Inga-Britt Törnell,1927-12-05,,,female,,Justice of the Supreme Court of Sweden,1987-01-01,1994-01-01,,,Sweden,1987
1366,Fredrik Sterzel,1934-10-29,,,male,,Justice of the Supreme Court of Sweden,1987-01-01,1994-01-01,,,Sweden,1987
1367,Bo Svensson,1940-01-01,,,male,,Justice of the Supreme Court of Sweden,1987-01-01,2007-01-01,,,Sweden,1987
1368,Johan Munck,1943-02-07,,,male,,Justice of the Supreme Court of Sweden,1987-01-01,2010-01-01,,,Sweden,1987
1369,Ulf Gad,1927-01-01,2015-12-21,,male,,Justice of the Supreme Court of Sweden,1988-01-01,1994-01-01,,,Sweden,1988
1370,Hans Danelius,1934-01-01,2019-09-20,,male,,Justice of the Supreme Court of Sweden,1988-01-01,2001-01-01,,,Sweden,1988
1371,Bengt Lambe,1931-09-06,,,male,,Justice of the Supreme Court of Sweden,1989-01-01,1989-01-01,,,Sweden,1989
1372,Edvard Nilsson,1938-01-24,2001-08-31,,male,,Justice of the Supreme Court of Sweden,1989-01-01,1989-01-01,,,Sweden,1989
1373,Sven Nyman,1925-01-01,2001-01-01,,male,,President of the Supreme Court of Sweden,1990-01-01,1992-01-01,,,Sweden,1990
1374,Anders Knutsson,1931-08-30,,,male,,President of the Supreme Court of Sweden,1992-01-01,1998-01-01,,,Sweden,1992
1375,Gertrud Lennander,1943-01-01,,,female,,Justice of the Supreme Court of Sweden,1992-01-01,2010-01-01,,,Sweden,1992
1376,Ingegerd Westlander,1935-01-01,2020-12-01,,female,,Justice of the Supreme Court of Sweden,1993-01-01,2002-01-01,,,Sweden,1993
1377,Leif Thorsson,1945-01-01,,,male,,Justice of the Supreme Court of Sweden,1993-01-01,2012-01-01,,,Sweden,1993
1378,Göran Regner,1942-10-02,2007-06-20,,male,,Justice of the Supreme Court of Sweden,1995-01-01,2007-01-01,,,Sweden,1995
1379,Ove Sköllerholm,1939-08-23,1996-07-23,,male,,Justice of the Supreme Court of Sweden,1996-01-01,1996-01-01,,,Sweden,1996
1380,Dag Victor,1944-09-12,2019-08-12,,male,,Justice of the Supreme Court of Sweden,1997-01-01,2011-01-01,,,Sweden,1997
1381,Severin Blomstrand,1945-01-01,,,male,,Justice of the Supreme Court of Sweden,1997-01-01,2012-01-01,,,Sweden,1997
1382,Torkel Gregow,1935-11-15,,,male,,President of the Supreme Court of Sweden,1998-01-01,2002-01-01,,,Sweden,1998
1383,Nina Pripp,1942-06-10,,,female,,Justice of the Supreme Court of Sweden,1998-01-01,2007-01-01,,,Sweden,1998
1384,Torgny Håstad,1943-12-28,,,male,,Justice of the Supreme Court of Sweden,1998-01-01,2010-01-01,,,Sweden,1998
1385,Marianne Lundius,1949-04-28,,,female,,Justice of the Supreme Court of Sweden,1998-01-01,2016-01-01,,,Sweden,1998
1386,Lars Dahllöf,1946-01-01,,,male,,Justice of the Supreme Court of Sweden,2001-01-01,2009-01-01,,,Sweden,2001
1387,Bo Svensson,1940-01-01,,,male,,President of the Supreme Court of Sweden,2002-01-01,2007-01-01,,,Sweden,2002
1388,Ella Nyström,1950-01-01,,,female,,Justice of the Supreme Court of Sweden,2002-01-01,2017-12-31,,,Sweden,2002
1389,Ann-Christine Lindeblad,1954-10-14,,,female,,Justice of the Supreme Court of Sweden,2002-01-01,2022-01-01,,,Sweden,2002
1390,Kerstin Calissendorff,1955-11-03,,,female,,Justice of the Supreme Court of Sweden,2003-01-01,,,,Sweden,2003
1391,Fredrik Wersäll,1951-04-30,,,male,,Justice of the Supreme Court of Sweden,2003-01-01,2004-01-01,,,Sweden,2003
1392,Magnus Widebeck,1957-01-01,,,male,,Justice of the Supreme Court of Sweden,2004-01-01,2005-01-01,,,Sweden,2004
1393,Per Virdesten,1946-08-24,2016-01-11,,male,,Justice of the Supreme Court of Sweden,2004-01-01,2013-01-01,,,Sweden,2004
1394,Anna Skarhed,1952-01-20,,,female,,Justice of the Supreme Court of Sweden,2005-01-01,2009-01-01,,,Sweden,2005
1395,Gudmund Toijer,1956-05-29,,,male,,Justice of the Supreme Court of Sweden,2007-01-01,,,,Sweden,2007
1396,Johan Munck,1943-02-07,,,male,,President of the Supreme Court of Sweden,2007-01-01,2010-01-01,,,Sweden,2007
1397,Lena Moore,1949-02-09,,,female,,Justice of the Supreme Court of Sweden,2008-01-01,2016-01-01,,,Sweden,2008
1398,Stefan Lindskog,1951-01-01,,,male,,Justice of the Supreme Court of Sweden,2008-01-01,2018-01-01,,,Sweden,2008
1399,Göran Lambertz,1950-02-17,,,male,,Justice of the Supreme Court of Sweden,2009-11-16,2017-02-28,,,Sweden,2009
1400,Marianne Lundius,1949-04-28,,,female,,President of the Supreme Court of Sweden,2010-01-01,2016-01-01,,,Sweden,2010
1401,Johnny Herre,1963-06-02,,,male,,Justice of the Supreme Court of Sweden,2010-03-15,,,,Sweden,2010
1402,Agneta Bäcklund,1960-04-25,,,female,,Justice of the Supreme Court of Sweden,2010-04-12,,,,Sweden,2010
1403,Ingemar Persson,1954-01-01,,,male,,Justice of the Supreme Court of Sweden,2010-09-01,2020-01-31,,,Sweden,2010
1404,Martin Borgeke,1949-06-10,,,male,,Justice of the Supreme Court of Sweden,2011-02-01,2016-01-01,,,Sweden,2011
1405,Svante O. Johansson,1960-08-10,,,male,,Justice of the Supreme Court of Sweden,2011-09-01,,,,Sweden,2011
1406,Dag Mattsson,1957-04-15,,,male,,Justice of the Supreme Court of Sweden,2012-09-03,,,,Sweden,2012
1407,Lars Edlund,1952-01-01,,,male,,Justice of the Supreme Court of Sweden,2012-10-08,2019-07-31,,,Sweden,2012
1408,Anders Eka,1961-09-06,,,male,,Justice of the Supreme Court of Sweden,2013-09-01,,,,Sweden,2013
1409,Stefan Lindskog,1951-01-01,,,male,,President of the Supreme Court of Sweden,2016-01-01,2018-01-01,,,Sweden,2016
1410,Sten Andersson,1955-01-01,,,male,,Justice of the Supreme Court of Sweden,2016-03-01,,,,Sweden,2016
1411,Stefan Johansson,1965-01-01,,,male,,Justice of the Supreme Court of Sweden,2016-04-18,,,,Sweden,2016
1412,Mari Heidenborg,1961-08-18,,,female,,Justice of the Supreme Court of Sweden,2016-09-05,2018-08-31,,,Sweden,2016
1413,Petter Asp,1970-01-01,,,male,,Justice of the Supreme Court of Sweden,2017-02-20,,,,Sweden,2017
1414,Malin Bonthron,1967-03-22,,,female,,Justice of the Supreme Court of Sweden,2017-09-04,,,,Sweden,2017
1415,Anders Eka,1961-09-06,,,male,,President of the Supreme Court of Sweden,2018-09-01,,,,Sweden,2018
1416,Eric M. Runesson,1960-09-26,,,male,,Justice of the Supreme Court of Sweden,2018-09-03,,,,Sweden,2018
1417,Stefan Reimer,1962-08-06,,,male,,Justice of the Supreme Court of Sweden,2019-03-25,,,,Sweden,2019
1418,Cecilia Renfors,1961-04-08,,,female,,Justice of the Supreme Court of Sweden,2019-09-02,,,,Sweden,2019
1419,Johan Danelius,1968-03-18,,,male,,Justice of the Supreme Court of Sweden,2020-01-20,,,,Sweden,2020
1420,Louis-Eugène Favre,1816-05-04,1861-06-19,,male,Protestantism,Judge at the Federal Supreme Court of Switzerland,1849-01-01,1851-01-01,Free Democratic Party of Switzerland,,Switzerland,1849
1421,Andrea Bezzola,1840-04-19,1897-01-10,,male,continental reformed church,Judge at the Federal Supreme Court of Switzerland,1893-10-01,,Free Democratic Party of Switzerland,,Switzerland,1893
1422,Eugène Deschenaux,1874-06-16,1940-05-28,,male,,Judge at the Federal Supreme Court of Switzerland,1919-01-01,1922-01-01,,,Switzerland,1919
1423,Ursula Nordmann-Zimmermann,1943-03-08,,,female,,Judge at the Federal Supreme Court of Switzerland,1997-01-01,2007-01-01,,,Switzerland,1997
1424,"Nicholas Phillips, Baron Phillips of Worth Matravers",1937-01-21,,,male,,President of the Supreme Court of the United Kingdom,2009-10-01,2012-10-01,,,United Kingdom,2009
1425,"Nicholas Phillips, Baron Phillips of Worth Matravers",1938-01-21,,,male,,President of the Supreme Court of the United Kingdom,2009-10-01,2012-10-01,,,United Kingdom,2009
1426,"David Neuberger, Baron Neuberger of Abbotsbury",1948-01-10,,,male,,President of the Supreme Court of the United Kingdom,2012-10-01,2017-09-04,,,United Kingdom,2012
1427,"Brenda Hale, Baroness Hale of Richmond",1945-01-31,,,female,,President of the Supreme Court of the United Kingdom,2017-09-05,2020-01-10,,,United Kingdom,2017
1428,"Robert John Reed, Lord Reed",1956-09-07,,,male,,President of the Supreme Court of the United Kingdom,2020-01-11,,,,United Kingdom,2020
1429,James Iredell,1751-10-05,1799-10-20,,male,,United States Supreme Court justice,,,Federalist Party,,United States of America,
1430,James E. Murphy,1897-01-01,1986-01-01,,male,,United States Supreme Court justice,,,,,United States of America,
1431,Robert H. Harrison,1745-01-01,1790-04-02,,male,,United States Supreme Court justice,,,Federalist Party,,United States of America,
1432,William Cushing,1732-03-01,1810-09-13,,male,,Associate Justice of the Supreme Court of the United States,1789-09-27,1810-09-13,,,United States of America,1789
1433,John Blair Jr.,1732-04-17,1800-08-31,,male,,Associate Justice of the Supreme Court of the United States,1789-09-30,1795-10-25,Federalist Party,,United States of America,1789
1434,John Jay,1745-12-12,1829-01-01,,male,Episcopal Church,Chief Justice of the United States,1789-10-19,1795-06-29,Federalist Party,,United States of America,1789
1435,John Jay,1745-12-12,1829-05-17,,male,Episcopal Church,Chief Justice of the United States,1789-10-19,1795-06-29,Federalist Party,,United States of America,1789
1436,James Wilson,1742-09-14,1798-08-21,,male,,Associate Justice of the Supreme Court of the United States,1790-01-01,1795-01-01,Federalist Party,,United States of America,1790
1437,John Rutledge,1739-09-17,1800-07-23,,male,,Associate Justice of the Supreme Court of the United States,1790-02-15,1791-03-05,Federalist Party,George Washington,United States of America,1790
1438,John Catron,1786-01-07,1865-05-30,,male,,Associate Justice of the Supreme Court of the United States,1791-03-05,1865-05-30,Democratic Party,Andrew Jackson,United States of America,1791
1439,Thomas Johnson,1732-11-04,1819-10-26,,male,,Associate Justice of the Supreme Court of the United States,1791-08-05,1793-01-16,Federalist Party,,United States of America,1791
1440,William Paterson,1745-12-24,1806-09-09,,male,,Associate Justice of the Supreme Court of the United States,1793-03-04,1806-09-08,Federalist Party,,United States of America,1793
